,Star_name,Distance,Mass,Radius,gravity
69,RW Cephei,"14,000",13.9,1158.0,0.0028412816845657853
70,Lacaille 8760,12.87,0.6,0.51,632.306299380494
71,V838 Monocerotis,"19,896",0.5,450.0,0.0006768019278554177
72,HD 140283,190,2.0,1.4,279.6987558994329
73,II Pegasi,130,0.8,3.4,18.96918898141482
74,VY Canis Majoris,"3,900",17.0,1420.0,0.0023109409210893424
75,Pistol Star,"25,000",100.0,320.0,0.26768044998187907
76,S Doradus,"1,69,000",24.0,380.0,0.045557581293314824
77,UY Scuti,"5,100",7.0,755.0,0.003366051428393683
78,Barnard's Star,5.98,0.14,0.2,959.3667327350546
79,Luhman 16,6.52,0.04,0.02,27410.478078144417
80,Proxima Centauri,4.25,0.12,0.15,1461.892164167702
81,KIC 8462852,"1,470",1.43,1.58,157.01403481712273
82,R136a1,"1,63,000",290.0,32.0,77.62733049474492
83,Melnick 42,"1,63,000",189.0,21.1,116.36262340848796
84,WR 102,"18,134",19.0,0.39,34240.5709062948
85,VFTS 352,"1,64,000",57.48,14.47,75.24823324055542
86,YBP 1194,"2,772",1.01,0.99,282.46692030329416
87,Gliese 1214,47.5,0.16,0.21,994.4844654202057
88,NML Cygni,"5,251",50.0,1900.0,0.0037964651077762347
89,VB 10,18.72,0.075,0.1,2055.7858558608314
90,WOH G64,"1,63,000",20.0,1600.0,0.0021414435998550327
91,TRAPPIST-1,39.6,0.089,0.12,1694.1198256630921
92,2MASS J0523-1403,40.3,0.07,0.086,2594.2853778665626
93,WISE 0855−0714,7.27,0.003,0.086,111.18365905142412
94,Icarus,"14,40,00,00,000",33.0,0.2,226136.44414469146
95,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173537,1213.472337393796
96,2MASS J00040288-6410358,192,0.018137172,0.16750369,177.1892722699507
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1647.5292272061336
98,2MASS J00274197+0503417,236,0.029592228,0.14797872,370.4211212210392
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.1588584075562
100,2MASS J00332386-1521309 [de],131,0.027683052,0.14695109,351.38640539176856
101,2MASS J00345157+0523050,31,0.040092696,0.09659722,1177.7486511370555
102,2MASS 0036+1821,28.6,0.040092696,0.09659722,1177.7486511370555
103,2MASSW J0045214+163445,57,0.021955524,0.16647606,217.14850276279157
104,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.1335919,175.93553814787856
105,2MASS J00501994-3322402 [de],34,0.03818352,0.09659722,1121.6653820352913
106,2MASS J00584253-0651239 [de],96,0.027683052,0.14695109,351.38640539176856
107,2MASSI J0103320+193536,70,0.049638576,0.10070774,1341.560382170239
108,SDSSp J010752.33+004156.1 [de],51,0.049638576,0.10070774,1341.560382170239
109,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606,188.82478501112314
110,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843,191.17771914015336
111,SDSS J015141.69+124429.6,70,0.044865636,0.09968011,1237.694387916357
112,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968011,1237.694387916357
113,2MASS J02103857-3015313,101,0.01431882,0.15722739,158.7696289193873
114,2MASS J02340093-6442068,155,0.01909176,0.16647606,188.82478501112314
115,2MASS J02411151-0326587 [de],152,0.025773876,0.14489583,336.4996146105873
116,2MASS J02431371−2453298,35,0.031501404,0.10173537,834.2622319582347
117,LP 771-21,53,0.074457864,0.11098404,1656.937488472605
118,Teegarden's star,12.578,0.07636704,0.13050901,1228.9708370839892
119,2MASS J02535980+3206373,184,0.06204822,0.1952497,446.13386116215315
120,WISE J0254+0223,24,0.06204822,0.1952497,446.13386116215315
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2106.7138517725225
122,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,1290.3622342106703
123,2MASS J03205965+1854233,47,0.084003744,0.11817745,1648.7166498646827
124,2MASS J03231002-4631237,192,0.021955524,0.17058658,206.80959887163243
125,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,1235.4476155259624
126,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,263.9033072218179
127,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,1393.1588584075562
128,2MASS J03341218-4953322,27,0.069684924,0.10687352,1672.3039433327008
129,LP 944-20,20.9,0.069684924,0.14695109,884.5243997792794
130,2MASP J0345432+254023,88,0.070639512,0.10790115,1663.0762207689872
131,Teide 1,380,0.05250234,0.38844414,95.37578426582239
132,2MASS J03510004-0052452,48,0.097367976,0.13050901,1566.9378172820864
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.407579076671
